order,seasonal_order,AIC,BIC,converged
"(1, 2, 6)","(1, 1, 1, 24)",32958.248760331,33023.93450130646,True
"(2, 2, 6)","(1, 1, 1, 24)",32970.95073039837,33042.6079023716,False
"(0, 2, 6)","(1, 1, 1, 24)",32978.13644954381,33037.850759521505,True
"(3, 2, 6)","(1, 1, 1, 24)",32984.65752197501,33062.28612494601,False
"(4, 2, 6)","(1, 1, 1, 24)",32988.34043112038,33071.94046508915,False
"(5, 2, 6)","(1, 1, 1, 24)",32989.13017905198,33078.70164401852,False
"(5, 2, 5)","(1, 1, 1, 24)",33009.794273691834,33093.39913941216,False
"(2, 2, 2)","(1, 1, 1, 24)",33015.73174954107,33063.51423581404,False
"(0, 2, 5)","(1, 1, 1, 24)",33040.29071696517,33094.0367020711,True
"(4, 2, 5)","(1, 1, 1, 24)",33042.537912610336,33120.17100220778,False
"(1, 2, 5)","(1, 1, 1, 24)",33048.555155449896,33108.2729166787,False
"(6, 2, 5)","(1, 1, 1, 24)",33054.49170643368,33144.06834827689,False
"(3, 2, 5)","(1, 1, 1, 24)",33068.20999098863,33139.871304463195,False
"(2, 2, 5)","(1, 1, 1, 24)",33070.271800917035,33135.961338268724,False
"(6, 2, 0)","(1, 1, 1, 24)",33083.43415107452,33143.15191230333,True
"(6, 2, 4)","(1, 1, 1, 24)",33084.79399534335,33168.39886106368,False
"(3, 2, 4)","(1, 1, 1, 24)",33091.09170150393,33156.78503392207,False
"(0, 2, 4)","(1, 1, 1, 24)",33102.88467671485,33150.66164574622,True
"(1, 2, 4)","(1, 1, 1, 24)",33116.27457993552,33170.02367009581,False
"(2, 2, 4)","(1, 1, 1, 24)",33119.0579079765,33178.77911926572,False
"(5, 2, 4)","(1, 1, 1, 24)",33119.37769237251,33197.01526704849,False
"(6, 2, 3)","(1, 1, 1, 24)",33124.600714306755,33202.2338039042,False
"(4, 2, 3)","(1, 1, 1, 24)",33132.70697089064,33198.40409706636,False
"(2, 2, 3)","(1, 1, 1, 24)",33137.02149031682,33190.7736844606,False
"(0, 0, 0)","(1, 1, 1, 24)",33139.07154685861,33162.96830153576,True
"(4, 2, 4)","(1, 1, 1, 24)",33143.09224118072,33214.75769472778,False
"(5, 2, 3)","(1, 1, 1, 24)",33156.07038927715,33227.73584282421,False
"(1, 2, 3)","(1, 1, 1, 24)",33207.93456110872,33255.714289236515,False
"(6, 2, 1)","(1, 1, 1, 24)",33209.28362103447,33274.97315838616,False
"(3, 2, 3)","(1, 1, 1, 24)",33210.34255155981,33270.06721171955,False
"(6, 2, 2)","(1, 1, 1, 24)",33211.24696293754,33282.908276412105,False
"(5, 2, 0)","(1, 1, 1, 24)",33218.193796492385,33271.94288665268,True
"(0, 2, 3)","(1, 1, 1, 24)",33223.1297042326,33264.936966344416,True
"(0, 2, 1)","(1, 1, 1, 24)",33229.787583281155,33259.65336044838,False
"(5, 2, 2)","(1, 1, 1, 24)",33232.81140144203,33298.504733860165,False
"(0, 1, 0)","(1, 1, 1, 24)",33234.986987320866,33258.88236482465,True
"(4, 2, 2)","(1, 1, 1, 24)",33258.93988924722,33318.66454940697,False
"(1, 2, 2)","(1, 1, 1, 24)",33285.78310859966,33327.592784088505,False
"(3, 2, 2)","(1, 1, 1, 24)",33289.22958454491,33342.984881602,False
"(5, 2, 1)","(1, 1, 1, 24)",33297.37246702277,33357.09367831198,False
"(4, 2, 0)","(1, 1, 1, 24)",33371.289865132174,33419.06959325997,True
